Point,Test,Output,channel 0.1G attenuation,stage 1 0.1G attenuation,stage 2 0.1G attenuation,channel 3.5G attenuation,stage 1 3.5G attenuation,stage 2 3.5G attenuation,channel 7G attenuation,stage 1 7G attenuation,stage 2 7G attenuation,channel 14G attenuation,stage 1 14G attenuation,stage 2 14G attenuation,channel 28G attenuation,stage 1 28G attenuation,stage 2 28G attenuation,"dB20(VF(""/VACcon_p_1""))","dB20(VF(""/VACout_p_1""))","dB20(VF(""/VACout_p_2""))",Stage 1 Region,Stage 2 Region,fW,current,ind,Rd,Cs,Rs
161,ECE740_tb_channel_CTLE_ML_1,,-0.0197,-54.1,-49.6,-6.587,-39.17,-29.88,-9.089,-40.74,-29.15,-13.16,-45.49,-36.46,-18.88,-53.61,-50.01,0,0,0,1,2,0.000004913,0.001928,1.633E-09,1463,7.698E-14,1029
162,ECE740_tb_channel_CTLE_ML_1,,-0.01959,-56.83,-48.07,-6.602,-38.22,-30.98,-9.11,-38.06,-33.58,-13.17,-41.91,-42.02,-18.87,-49.92,-55.58,0,0,0,1,2,0.000008909,0.00227,2.857E-09,1128,2.783E-14,386.1
163,ECE740_tb_channel_CTLE_ML_1,,-0.01975,-9.826,-19.56,-6.577,-9.149,-11.66,-9.066,-9.121,-9.128,-13.13,-11.72,-10.32,-18.82,-15.71,-12.76,0,0,0,2,2,0.000001956,0.001165,1.524E-09,343,1.046E-13,1302
164,ECE740_tb_channel_CTLE_ML_1,,-0.01969,-5.605,-11.13,-6.584,-0.1966,6.387,-9.106,-3.395,2.831,-13.18,-10.06,-6.106,-18.89,-19.54,-19.37,0,0,0,2,2,0.0000065,0.00135,2.508E-09,284.8,6.314E-13,752.6
165,ECE740_tb_channel_CTLE_ML_1,,-0.0197,-41.16,-36.21,-6.581,-47.12,-36.5,-9.076,-49.19,-38.64,-13.14,-52,-42.19,-18.85,-55.41,-47.76,0,0,0,1,2,0.000003047,0.002445,1.915E-09,890.3,9.469E-13,441.2
166,ECE740_tb_channel_CTLE_ML_1,,-0.01971,-23.81,-47.7,-6.581,-30.28,-54.08,-9.074,-32.51,-56.05,-13.14,-35.71,-58.41,-18.85,-39.61,-60.59,0,0,0,2,2,0.000004379,0.002221,8.075E-11,11.11,6.845E-14,85.71
167,ECE740_tb_channel_CTLE_ML_1,,-0.01976,-18.87,-37.78,-6.58,-17.27,-28.08,-9.068,-19.57,-30.19,-13.13,-23.27,-33.54,-18.81,-27.79,-36.95,0,0,0,2,2,0.000001208,0.0008368,5.324E-10,132.4,5.162E-13,1411
168,ECE740_tb_channel_CTLE_ML_1,,-0.01967,-8.587,-17.2,-6.583,-14.17,-21.81,-9.086,-14.45,-19.9,-13.17,-15.01,-16.89,-18.88,-21.99,-25.13,0,0,0,2,2,0.000008404,0.001866,1.538E-09,73.26,7.338E-14,196.1
169,ECE740_tb_channel_CTLE_ML_1,,-0.01968,-7.049,2.508,-6.582,-13.68,-4.159,-9.08,-16.38,-6.983,-13.15,-21.16,-12.36,-18.87,-28.79,-22.04,0,0,0,1,2,0.000003566,0.001139,2.37E-09,730.1,7.202E-13,18.32
170,ECE740_tb_channel_CTLE_ML_1,,-0.0197,-6.019,-11.65,-6.585,0.5829,8.813,-9.103,-2.892,4.783,-13.18,-9.608,-4.14,-18.89,-19.22,-17.55,0,0,0,2,2,0.000005563,0.001282,2.156E-09,403.9,7.212E-13,1281
171,ECE740_tb_channel_CTLE_ML_1,,-0.01973,-8.431,-9.983,-6.58,-9.143,-1.267,-9.072,-11.66,-3.745,-13.14,-15.93,-8.19,-18.84,-22.35,-15.29,0,0,0,1,2,0.000002073,0.0009251,1.371E-09,860.9,6.795E-13,1476
172,ECE740_tb_channel_CTLE_ML_1,,-0.01956,-43.77,-39.56,-6.601,-32.61,-28.43,-9.108,-33.35,-29.89,-13.17,-38.32,-38.28,-18.87,-47.41,-52.97,0,0,0,1,2,0.000008958,0.001205,2.174E-09,1243,2.131E-14,970.6
173,ECE740_tb_channel_CTLE_ML_1,,-0.01962,-44.86,-41.87,-6.59,-40.93,-29.64,-9.099,-43.8,-32.53,-13.17,-49.85,-43.61,-18.88,-58.66,-58.37,0,0,0,1,2,0.000006441,0.00123,2.291E-09,1334,1.117E-13,1234
174,ECE740_tb_channel_CTLE_ML_1,,-0.01959,-22.41,-26.41,-6.598,-23.65,-12.71,-9.109,-28.37,-21.4,-13.17,-36.56,-35.03,-18.87,-47.44,-51.49,0,0,0,1,2,0.000008401,0.001609,2.048E-09,559.5,5.082E-13,1465
175,ECE740_tb_channel_CTLE_ML_1,,-0.01969,2.511,9.558,-6.581,-3.921,3.348,-9.076,-6.235,1.437,-13.15,-10.44,-2.406,-18.86,-17.56,-10.3,0,0,0,1,2,0.000002843,0.0008673,2.128E-09,770.6,1.906E-13,108.2
176,ECE740_tb_channel_CTLE_ML_1,,-0.01972,-47.63,-43.62,-6.581,-57.13,-45.99,-9.074,-56.52,-44.87,-13.14,-55.77,-44.86,-18.84,-56.63,-48.22,0,0,0,1,2,0.000002693,0.001921,1.834E-10,1307,2.591E-13,862.2
177,ECE740_tb_channel_CTLE_ML_1,,-0.01959,-36.73,-33.33,-6.596,-43.69,-31.03,-9.108,-47.82,-39.44,-13.17,-54.6,-51.72,-18.87,-62.65,-65.73,0,0,0,1,2,0.000007963,0.000927,8.705E-10,1282,6.641E-13,1318
178,ECE740_tb_channel_CTLE_ML_1,,-0.01957,-42.24,-39.72,-6.6,-36.72,-31.41,-9.109,-38.83,-32.4,-13.17,-45.43,-43.71,-18.87,-55.7,-60.12,0,0,0,1,2,0.000008633,0.00186,2.072E-09,837.9,5.956E-14,813.2
